Tipo_Unidade;Unidade;Setor;Telefone_ramal;Email;Dirigente
Órgãos Complementares ;Arquivo Central (ACE);Arquivo Central (ACE);3108;arquivocentral@unb.br;Rodrigo de Freitas Nogueira
Órgãos Complementares ;Biblioteca Central (BCE);Biblioteca Central (BCE);3108;informacoes.bce@unb.br;Prof. Fernando César Lima Leite
Órgãos Complementares ;Rádio e Televisão Universitárias (UnBTV);Rádio e Televisão Universitárias (UnBTV);3108;unbtv@unb.br;Prof. Rafael Litvin Villas Bôas
Órgãos Complementares ;Editora Universidade de Brasília (EDU);Editora Universidade de Brasília (EDU);3036;administrativoedu@unb.br;Profª. Germana Henriques Pereira
Órgãos Complementares ;Fazenda Água Limpa (FAL);Fazenda Água Limpa (FAL);3107 9000;falunb@unb.br;Prof. Reginaldo Sérgio Pereira
Órgãos Complementares ;Hospital Universitário (HUB/EBSERH);Hospital Universitário (HUB/EBSERH);2028 98/99;gab.hub@ebserh.gov.br;Prof. Elza Ferreira Noronha
Órgãos Complementares ;Parque Científico e Tecnológico da ;Parque Científico e Tecnológico da ;3107 4119;pctec@unb.br;Prof. Carlos Alberto Gurgel Veras
Órgãos Complementares ;Universidade de Brasília (PCTec);Universidade de Brasília (PCTec);;;
Órgãos Complementares ;Secretaria de Tecnologia da Informação (STI);Secretaria de Tecnologia da Informação (STI);3107 0102;www.sti.unb.br;Prof. Jacir Luiz Bordim
Assessorias e secretarias ;Coordenação do Cerimonial (CERI);Coordenação do Cerimonial (CERI);3107  9/86;ceri@unb.br;Marcela Barbosa da Silva
Assessorias e secretarias ;Secretaria de Administração Acadêmica (SAA);Secretaria de Administração Acadêmica (SAA);3107 3750;saaatendimento@unb.br;Henrique Soares de Melo
Assessorias e secretarias ;Secretaria de Assuntos Internacionais (INT);Secretaria de Assuntos Internacionais (INT);3108 10/43;intweb@unb.br;Prof. Virgílio Pereira de Almeida
Assessorias e secretarias ;Secretaria de Comunicação (SECOM);Secretaria de Comunicação (SECOM);3107 0214;secom@unb.br;Mônica Celeida Rabelo Nogueir
Centros ;Centro de Desenvolvimento Sustentável (CDS);Centro de Desenvolvimento Sustentável (CDS);3108;cds@unb.br;Prof. Fabiano Toni
Centros ;Centro de Educação a Distância (CEAD);Centro de Educação a Distância (CEAD);3108;cead@unb.br;Profª. Letícia Lopes Leite
Centros ;Centro de Estudos Avançados Multidisciplinares (CEAM);Centro de Estudos Avançados Multidisciplinares (CEAM);3108;ceam@unb.br;Profª. Viviane de Melo Resende
Centros ;Centro de Excelência em Turismo (CET);Centro de Excelência em Turismo (CET);3107 95/96;cetrh@unb.br;Marutschka Martini Moesh
Centros ;Centro de Pesquisa e Aplicação de Bambu e Fibras Naturais (CPAB);Centro de Pesquisa e Aplicação de Bambu e Fibras Naturais (CPAB);3108;cpab@unb.br;Prof. Jaime Gonçalves de Almeida
Centros ;Centro de Políticas, Direito, Economia e Tecnologias das;Centro de Políticas, Direito, Economia e Tecnologias das;3107 1029;ccom@unb.br;Prfof. Marcio Iorio Aranha
Centros ;Comunicações (CCOM);Comunicações (CCOM);;;
Centros ;Centro de Referência em Conservação da Natureza e Recuperação de;Centro de Referência em Conservação da Natureza e Recuperação de;3108  5/94;crad@unb.br;Prof. Dr. José Roberto Rodrigues Pinto
Centros ;Áreas Degradadas (CRAD);Áreas Degradadas (CRAD);;;
Centros ;Centro Internacional de Bioética e Humanidades (CIBH);Centro Internacional de Bioética e Humanidades (CIBH);3108;cibh@unb.br;Profª.Gabriele Cornelli
Centros ;Centro Internacional de Física da Matéria Condensada (CIFMC);Centro Internacional de Física da Matéria Condensada (CIFMC);3107 3300|5807;ludmilaif@unb.br;Prof. Viktor Dodonov
Centros ;Centro UnB Cerrado (CER);Centro UnB Cerrado (CER);"ddd(62)3446 1710/(61)3107
2239";unbcerrado@unb.br;Prof. Maria Júlia Martins Silva
Unidades diversas ;Centro Comunitário Athos Bulcão (CCAB/PRC);Centro Comunitário Athos Bulcão (CCAB/PRC);3108;carladavid@unb.br;Carla Márcia Viana David
Unidades diversas ;Coordenação de Desenvolvimento Acadêmico e ;Coordenação de Desenvolvimento Acadêmico e ;3108;cdap@unb.br;Thaís Alves de Costa Lamounier
Unidades diversas ;Profissional (CDAP/DEG);Profissional (CDAP/DEG);;;
Unidades diversas ;Coordenação de Processo Administrativo Disciplinar (CPAD);Coordenação de Processo Administrativo Disciplinar (CPAD);3108;disciplinar@unb.br;Luiz Flávio Pessoa Oliveira de Souza
Unidades diversas ;Coordenação de Protocolo (COP/ACE);Coordenação de Protocolo (COP/ACE);3108;cop@unb.br;Eronides Guimarães Bezerra
Unidades diversas ;Diretoria de Administração e Logística (DIRAD/PRC);Diretoria de Administração e Logística (DIRAD/PRC);3107 3302;diradprc@unb.br;Ana Cristina Brandão Ribeiro Silva
Unidades diversas ;Diretoria de Manutenção de Equipamentos (DIMEQ/PRC);Diretoria de Manutenção de Equipamentos (DIMEQ/PRC);3108  1/8 ;dimeqprc@unb.br;Humberto Barbosa Farias
Unidades diversas ;Diretoria de Manutenção Predial (DIMAP/PRC);Diretoria de Manutenção Predial (DIMAP/PRC);3107 3331;dimapprc@unb.br;João Victor Cavalcante Barros
Unidades diversas ;Núcleo de Capacitação (STI/CGESP/CAP);Núcleo de Capacitação (STI/CGESP/CAP);3108;sti.cap@unb.br;Francisco Jackson Alves de Freitas
Unidades diversas ;Hospital Veterinário (animais de grande porte - HVet);Hospital Veterinário (animais de grande porte - HVet);3468 7255;hvetgrandes@unb.b;Prof. Fábio Henrique Bezerra Ximenes 
Unidades diversas ;Hospital Veterinário (animais de pequeno porte - HVet);Hospital Veterinário (animais de pequeno porte - HVet);3107 2801;hvetadm@unb.br;Prof. Líria Queiroz Luz Hirano
Unidades diversas ;Livraria Universidade - Centro de Vivência;Livraria Universidade - Centro de Vivência;3107 1245;livrariacampus@unb.br;Robervânia Brito
Unidades diversas ;Programa Permanente de Extensão UnB-Idiomas;Programa Permanente de Extensão UnB-Idiomas;3107 7223;atendimento1@unb.br;Prof. Gleiton Malta Magalhães
Unidades diversas ;Serviço de Informação ao Cidadão (SIC/LEI 12.527/2011);Serviço de Informação ao Cidadão (SIC/LEI 12.527/2011);3107 2749;sic@unb.br;Juliano Petti
Entidades externas ;Associação dos Aposentados da FUB (APOSFUB);Associação dos Aposentados da FUB (APOSFUB);3307 2284/3347 7976;aposfunb@gmail.com;Francisco Pedro de Oliveira
Entidades externas ;Associação dos Docentes da UnB (ADUnB);Associação dos Docentes da UnB (ADUnB);3307 39/83;adunbss@unb.br;Prof. Luis Antonio Pasquetti
Entidades externas ;Associação dos Ex-Alunos (Alumni);Associação dos Ex-Alunos (Alumni);3307 1089;alumni@unb.br;Pedro Ivo Santana Borges de Lima
Entidades externas ;Associação dos Funcionários da FUB (ASFUB);Associação dos Funcionários da FUB (ASFUB);3308  1/16;asfub@unb.br;Pedro Borges
Entidades externas ;Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior (ANDIFES);Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior (ANDIFES);3321 34/45;andifes@andifes.org.br;Profa. Ângela Maria Paiva Cruz
Entidades externas ;Centro Brasileiro de Pesquisa em Avaliação e Seleção e de Promoção de Eventos (CEBRASPE);Centro Brasileiro de Pesquisa em Avaliação e Seleção e de Promoção de Eventos (CEBRASPE);3448 0100;sac@cebraspe.org.br;Profa. Adriana Rigon Weska
Entidades externas ;Diretório Central dos Estudantes (DCE);Diretório Central dos Estudantes (DCE);3107 6302;dceunb@gmail.com;Renato Lucas de Carvalho
Entidades externas ;Federação de Sindicatos de Trabalhadores Técnico-administrativos em Instituições de Ensino Superior Públicas do Brasil;Federação de Sindicatos de Trabalhadores Técnico-administrativos em Instituições de Ensino Superior Públicas do Brasil;3351  5/71;fasubra@fasubra.org.br;Rogério Fagundes Marzola
Entidades externas ;Fundação de Apoio ao Desenvolvimento Científico e Tecnológico do HUB (FAHUB/AMIL);Fundação de Apoio ao Desenvolvimento Científico e Tecnológico do HUB (FAHUB/AMIL);3274 3000;atendimento@fahub.org.br;Prof. Eduardo Flávio Oliveira Queiroz
Entidades externas ;Fundação de Empreendimentos Científicos e ;Fundação de Empreendimentos Científicos e ;3348 73/75;finatec@finatec.org.br;Prof. Edson Paulo da Silva
Entidades externas ;Tecnológicos (FINATEC);Tecnológicos (FINATEC);;;
Entidades externas ;Fundação Oswaldo Cruz (Fiocruz);Fundação Oswaldo Cruz (Fiocruz);3329 4500;direção@fiocruz.br;Prof. Gerson Oliveira Penna
Entidades externas ;Memorial Darcy Ribeiro (Beijódromo);Memorial Darcy Ribeiro (Beijódromo);3108  3/76;memorial@fundar.org.br;Paulo Ribeiro
Entidades externas ;Sindicato dos Trabalhadores da FUB (SINTFUB);Sindicato dos Trabalhadores da FUB (SINTFUB);3275  3/11;sintfub@unb.br;Rogério Fagundes Marzola
Entidades externas ;Sindicato Nacional dos Docentes das IFES (ANDES);Sindicato Nacional dos Docentes das IFES (ANDES);3962 8400;secretaria@andes.org.br;Profa. Eblin Joseph Sarage
Entidades externas ;Sociedade Brasileira para o Progresso da Ciência (SBPC/DF);Sociedade Brasileira para o Progresso da Ciência (SBPC/DF);9 9296 4607;ligia.pavanbaptista@gmail.com;Profa. Lígia Pavan Baptista
Telefones Úteis;Plantão Segurança;Plantão Segurança;3107 6222;disegprc@unb.br;Thiago Vales Mesquita 
Telefones Úteis;Plantão Elétrico;Plantão Elétrico;3108;dimapprc@unb.br;Thiago Vales Mesquita
Telefones Úteis;Plantão Hidráulico;Plantão Hidráulico;3107 3444;dimapprc@unb.br;Thiago Vales Mesquita
Unidades acadêmicas ;Faculdade de Agronomia e Medicina Veterinária (FAV) ;Faculdade de Agronomia e Medicina Veterinária (FAV) ;3108  2/27;secfav@unb.br;Profª. Simone Perecmanis
Unidades acadêmicas ;Faculdade de Arquitetura e Urbanismo (FAU) ;Faculdade de Arquitetura e Urbanismo (FAU) ;3107 6630;fau-unb@unb.br;Prof. Marcos Thadeu Queiroz Magalhães
Unidades acadêmicas ;Faculdade de Arquitetura e Urbanismo (FAU) ;Departamento de Projeto, Expressão e Representação em  Arquitetura e Urbanismo (PRO) ;3108;sadex@unb.br;Profª Cristiane Guinâncio
Unidades acadêmicas ;Faculdade de Arquitetura e Urbanismo (FAU) ;Departamento de Tecnologia em Arquitetura e Urbanismo (TEC) ;3108;sadex@unb.br;Profª Andréa Prado Abreu Reis Liserre
Unidades acadêmicas ;Faculdade de Arquitetura e Urbanismo (FAU) ;Departamento de Teoria e História em Arquitetura e Urbanismo (THAU);3108;sadex@unb.br;Prof. Carlos Henrique Magalhães de Lima
Unidades acadêmicas ;Faculdade de Ciência da Informação (FCI) ;Faculdade de Ciência da Informação (FCI) ;3108;fci@unb.br;Prof. Renato Tarciso Barbosa de Sousa
Unidades acadêmicas ;Faculdade de Ciências da Saúde (FS) ;Faculdade de Ciências da Saúde (FS) ;3108;fsd@unb.br;Prof. Laudimar Alves de Oliveira
Unidades acadêmicas ;Faculdade de Ciências da Saúde (FS) ;Departamento de Enfermagem (ENF);3107 1711;enf@unb.br;Prof. Solange Baraldi
Unidades acadêmicas ;Faculdade de Ciências da Saúde (FS) ;Departamento de Farmácia (FAR);3108  1/83;farmaciafsunb@unb.br;Profª. Angélica Amorim Amato
Unidades acadêmicas ;Faculdade de Ciências da Saúde (FS) ;Departamento de Nutrição (NUT);3108;nut@unb.br;Profª. Eliana dos Santos Leandro
Unidades acadêmicas ;Faculdade de Ciências da Saúde (FS) ;Departamento de Odontologia (ODT);3108;odonto@unb.br;Prof. Tiago Araújo Coelho de Souza
Unidades acadêmicas ;Faculdade de Ciências da Saúde (FS) ;Departamento de Saúde Coletiva (DSC);3107 1951;coletiva@unb.br;Prof. Natan Monsores de Sá
Unidades acadêmicas ;Faculdade de Comunicação (FAC) ;Faculdade de Comunicação (FAC) ;3108;fac@unb.br;Dione de Oliveira Moura
Unidades acadêmicas ;Faculdade de Comunicação (FAC) ;Departamento de Audiovisuais e Publicidade (DAP);3108  1/65;fac@unb.br;Profª. Denise Moraes Cavalcante 
Unidades acadêmicas ;Faculdade de Comunicação (FAC) ;Departamento de Jornalismo (JOR);3108  1/60;fac@unb.br;Prof. Zanei Ramos Barcello
Unidades acadêmicas ;Faculdade de Comunicação (FAC) ;Departamento de Comunicação Organizacional (COM);3107 6519;facorg@unb.br;Profª. Erika Bauer de Oliveira
Unidades acadêmicas ;Faculdade de Direito (FD) ;Faculdade de Direito (FD) ;3108;secretariafd@unb.br;Profª Daniela Marques de Moraes
Unidades acadêmicas ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;3108;face@unb.br;Prof. José Márcio Carvalho
Unidades acadêmicas ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;Departamento de Administração (ADM);3108;adm@unb.br;Prof. Rodrigo Rezende Ferreira
Unidades acadêmicas ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;Departamento de Ciências Contábeis e Atuariais (CCA);3108;sergionazare@unb.br;Prof. Sérgio Ricardo Miranda Nazaré
Unidades acadêmicas ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;Departamento de Economia (ECO);3108;economia@unb.br;Prof. Roberto de Goes Ellery Junior
Unidades acadêmicas ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;Departamento de Gestão de Políticas Públicas (GPP);3107 0755;gpop@unb.br;Profª. Christiana Soares de Freitas
Unidades acadêmicas ;Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE) ;Centro Integrado de Ordenamento Territorial (CIORD);3107 6046;ciord@unb.br;Prof. Jorge Madeira Nogueira
Unidades acadêmicas ;Faculdade de Educação (FE) ;Faculdade de Educação (FE) ;3108  1/74;fed@unb.br;Profª. Liliane Campos Machado
Unidades acadêmicas ;Faculdade de Educação (FE) ;Departamento de Métodos e Técnicas (MTC);3107 6157;mtcfe@unb.br;Prof. Geraldo Eustáquio Moreira
Unidades acadêmicas ;Faculdade de Educação (FE) ;Departamento de Planejamento e Administração (PAD);3107 6173;padfe@unb.br;Profª. Kátia Curado Cordeiro Pinheiro da Silva
Unidades acadêmicas ;Faculdade de Educação (FE) ;Departamento de Teoria e Fundamentos (TEF);3107 6159;teffe@unb.br;Profª. Liège Gemelli Kunchenbecker
Unidades acadêmicas ;Faculdade de Educação Física (FEF) ;Faculdade de Educação Física (FEF) ;3108  1/72;fef@unb.br;Prof. Martim Francisco Bottaro Marques
Unidades acadêmicas ;Faculdade de Educação Física (FEF) ;Centro Olímpico (CO);3107 2544;centroolimpico@unb.br;Prof. Victor Lage
Unidades acadêmicas ;Faculdade de Medicina (FM) ;Faculdade de Medicina (FM) ;3107 1701;fmd@unb.br;Prof. Gustavo Adolfo Sierra Romero
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Faculdade de Tecnologia (FT) ;3108  2/69;ftd@unb.br;Prof. Márcio Muniz de Farias
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Departamento de Engenharia Civil e Ambiental (ENC);3108;enc@unb.br;Profª. Cláudia Marcia Coutinho Gurjão
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Departamento de Engenharia de Produção (EPR);3108;secepr@unb.br;Prof. Clóvis Neumann
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Departamento de Engenharia Elétrica (ENE);3107 5586;secene@ene.unb.br;Prof. José Edil Guimarães Medeiros
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Departamento de Engenharia Florestal (EFL);3107 5630;efl@unb.br;Prof. Leonardo Job Biali
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Departamento de Engenharia Mecânica (ENM);3107 95/98;secenm@unb.br;Prof. Edson Paulo da Silva
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;Centro de Formação de Recursos Humanos em Transportes;3107 1652;ceftru@unb.br;Prof. Pastor Willy Gonzales Taco
Unidades acadêmicas ;Faculdade de Tecnologia (FT) ;(CEFTRU);;;
Unidades acadêmicas ;Faculdade UnB Ceilândia (FCE) ;Faculdade UnB Ceilândia (FCE) ;3108  3/50;fcesecadm@unb.br;Prof. João Paulo Chieregato Matheus q
Unidades acadêmicas ;Faculdade UnB Gama (FGA) ;Faculdade UnB Gama (FGA) ;3108;direcaofga@unb.br;Prof. Sandro Augusto Pavlik Haddad
Unidades acadêmicas ;Faculdade UnB Planaltina (FUP) ;Faculdade UnB Planaltina (FUP) ;3107 8207;fup@unb.br;Prof. Reinaldo José de Miranda Filho 
Unidades acadêmicas ;Instituto de Artes (IdA) ;Instituto de Artes (IdA) ;3108;ida@unb.br;Profª. Fátima Aparecida dos Santos
Unidades acadêmicas ;Instituto de Artes (IdA) ;Departamento de Artes Cênicas (CEN);3108;cen@unb.br;Prof. Fernando Antonio Pinheiro Villar de Queiroz
Unidades acadêmicas ;Instituto de Artes (IdA) ;Departamento de Artes Visuais (VIS);3107 30/31;vis@unb.br;Profª. Ana Candida Franceschini Avelar Fernandes
Unidades acadêmicas ;Instituto de Artes (IdA) ;Departamento de Design (DIN);3107 31/36;din@unb.br;Profª. Virginia Tiradentes Souto
Unidades acadêmicas ;Instituto de Artes (IdA) ;Departamento de Música (MUS);3108;musica@unb.br;Prof. Vadim da Costa Arsky FilhO
Unidades acadêmicas ;Instituto de Ciência Política (IPOL) ;Instituto de Ciência Política (IPOL) ;3108;secretariaipol@unb.br;Profª. Danusa Marques
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Instituto de Ciências Biológicas (IB) ;3108;jsantana@unb.br;Prof. Jaime Martins de Santana
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Botânica (BOT);3107 2965;micheline.silva@unb.br;Profª. Micheline Carvalho Silva
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Biologia Celular (CEL);3107 3045;tatianadecampos@unb.br;Profª. Tatiana Amábile de Campos
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Ciências Fisiológicas (CFS);3107 3117;fvcaixeta@unb.br;Prof. Fabio Viegas Caixeta
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Ecologia (ECL);3107 3005;henriq@unb.br;Prof. Raimundo Paulo Barros Henriques
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Fitopatologia (FIT);3107 3061;marisavf@unb.br;Porfª. Marisa Alvares da Silva Velloso
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Genética e Morfologia (GEM);3107 3082;sachabraun@unb.br;Profª. Sacha Braun Chaves
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Departamento de Zoologia (ZOO);3107 3025;rbmac@unb.br;Prof. Ricardo Bomfim Machado
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Centro de Nano Ciência e Nanobiotecnologia (CNANO);3107 3081;razevedo@unb.br;Prof. Ricardo Bentes de Azevedo
